angle,magnitude,occurrences
1.3,0.12,277
-0.79,0.12,277
-3.05,0.12,276
1.33,0.13,276
0.27,0.12,276
2.47,0.14,276
2.88,0.12,275
0.54,0.12,275
1.37,0.11,274
-2.26,0.15,274
-3.04,0.11,274
1.8,0.14,274
2.9,0.13,274
2.94,0.11,274
-2.85,0.11,273
-1.34,0.14,273
0.59,0.12,273
-0.66,0.12,272
-3.06,0.13,272
2.21,0.16,272
-2.88,0.12,272
0.38,0.11,272
-0.84,0.14,272
0.22,0.1,272
0.51,0.11,272
0.66,0.12,272
-1.36,0.15,272
2.07,0.13,272
-1.25,0.13,271
1.98,0.16,271
-0.51,0.11,270
2.26,0.15,270
2.04,0.14,269
-1.72,0.14,269
1.57,0.15,269
-2.41,0.13,269
-0.1,0.11,269
1.72,0.14,268
-1.07,0.13,268
-0.46,0.14,268
-0.29,0.11,268
-1.91,0.16,267
1.5,0.16,267
-0.24,0.13,266
2.1,0.15,266
-2.79,0.12,266
1.18,0.14,266
-1.18,0.14,266
-2.11,0.12,266
0.1,0.11,266
-1.5,0.16,265
-1.57,0.17,265
-2.48,0.12,265
-1.97,0.14,265
0.46,0.12,265
-0.5,0.13,264
-0.67,0.14,264
-2.36,0.12,264
-1.42,0.14,264
1.83,0.17,264
1.89,0.13,264
1.57,0.16,264
1.91,0.16,264
1.42,0.14,263
0.17,0.13,263
-2.0,0.15,263
-2.07,0.13,263
-2.1,0.15,263
-2.2,0.14,262
-0.54,0.12,262
-0.43,0.13,261
-2.71,0.13,261
-0.79,0.15,261
0.84,0.14,261
-2.92,0.1,260
2.41,0.14,259
1.94,0.15,259
2.31,0.16,259
2.71,0.13,259
2.76,0.11,259
-0.17,0.13,259
-2.82,0.13,259
-2.3,0.13,259
-1.08,0.16,258
1.03,0.12,258
0.67,0.14,258
-1.78,0.15,258
-0.63,0.14,257
-2.04,0.14,257
-1.43,0.15,257
0.0,0.13,257
-2.23,0.12,257
-1.0,0.14,257
-2.47,0.14,257
0.61,0.13,256
2.57,0.14,256
-1.44,0.16,256
1.49,0.14,256
1.78,0.15,255
-1.77,0.16,255
2.75,0.14,255
0.0,0.14,255
2.96,0.12,255
2.36,0.14,254
0.18,0.12,254
-0.94,0.14,254
2.4,0.16,254
-1.65,0.14,253
-1.31,0.17,253
-1.7,0.17,252
2.82,0.13,252
-0.35,0.12,251
3.06,0.13,251
-1.02,0.16,251
1.7,0.16,251
-2.41,0.14,250
-3.14,0.06,250
-1.37,0.16,250
-1.89,0.17,250
-2.99,0.14,250
2.41,0.13,250
1.5,0.15,249
2.06,0.16,249
-1.33,0.13,249
-2.61,0.15,249
-2.64,0.13,249
2.01,0.18,249
-0.98,0.15,249
-2.6,0.12,248
-1.57,0.18,248
2.53,0.13,248
1.85,0.15,248
2.68,0.14,248
1.64,0.15,248
-3.07,0.15,248
1.27,0.14,248
-1.95,0.17,248
-1.71,0.15,247
1.34,0.14,246
1.51,0.17,246
0.98,0.15,246
-3.14,0.07,246
1.98,0.19,246
0.79,0.14,245
2.09,0.17,245
-2.3,0.14,245
-3.14,0.05,244
-1.45,0.17,244
-1.94,0.15,244
-2.06,0.16,244
-1.89,0.13,244
1.23,0.16,244
0.9,0.14,244
-2.9,0.13,244
-1.7,0.16,244
-1.82,0.18,243
2.79,0.12,243
1.0,0.14,243
-3.14,0.13,243
